index , fval, rval 
00000,00250,00250
00001,00250,00250
00002,00250,00250
00003,00250,00250
00004,00250,00250
00005,00250,00250
00006,00250,00250
00007,00250,00250
00008,00250,00250
00009,00250,00250
00010,00250,00250
00011,00250,00250
00012,00250,00250
00013,00250,00250
00014,00250,00250
00015,00250,00250
00016,00250,00250
00017,00250,00250
00018,00032,00250
00019,00075,00250
00020,00000,00250
00021,00000,00250
00022,00008,00250
00023,00002,00250
00024,00000,00250
00025,00000,00250
00026,00206,00250
00027,00000,00250
00028,00000,00242
00029,00003,00226
00030,00011,00210
00031,00007,00198
00032,00031,00186
00033,00028,00176
00034,00007,00168
00035,00040,00160
00036,00015,00152
00037,00085,00144
00038,00119,00131
00039,00134,00103
00040,00130,00045
00041,00126,00045
00042,00122,00039
00043,00118,00047
00044,00114,00046
00045,00056,00038
00046,00106,00041
00047,00102,00037
00048,00198,00031
00049,00016,00032
00050,00095,00036
00051,00070,00031
00052,00014,00033
00053,00208,00032
00054,00133,00027
00055,00010,00034
00056,00000,00027
00057,00074,00032
00058,00003,00031
00059,00002,00027
00060,00072,00026
00061,00007,00029
00062,00000,00030
00063,00000,00023
00064,00001,00023
00065,00004,00027
00066,00000,00022
00067,00002,00021
00068,00002,00021
00069,00007,00019
00070,00000,00021
00071,00001,00025
00072,00000,00026
00073,00001,00022
00074,00002,00017
00075,00003,00019
00076,00000,00016
00077,00001,00019
00078,00003,00016
00079,00000,00016
00080,00002,00017
00081,00006,00022
00082,00009,00019
00083,00003,00017
00084,00107,00017
00085,00002,00019
00086,00093,00015
00087,00002,00014
00088,00003,00023
00089,00000,00017
00090,00016,00016
00091,00003,00012
00092,00003,00015
00093,00005,00014
00094,00006,00013
00095,00002,00013
00096,00001,00014
00097,00003,00014
00098,00000,00012
00099,00000,00012
00100,00024,00019
00101,00000,00011
00102,00000,00013
00103,00005,00014
00104,00000,00014
00105,00000,00013
00106,00004,00015
00107,00000,00014
00108,00003,00012
00109,00017,00013
00110,00000,00012
00111,00001,00017
00112,00007,00014
00113,00003,00015
00114,00000,00015
00115,00016,00010
00116,00002,00011
00117,00007,00014
00118,00007,00015
00119,00002,00016
00120,00008,00012
00121,00004,00011
00122,00005,00012
00123,00020,00013
00124,00007,00013
00125,00000,00012
00126,00003,00013
00127,00019,00012
00128,00000,00011
00129,00007,00012
00130,00001,00012
00131,00010,00007
00132,00254,00011
00133,00019,00010
00134,00001,00009
00135,00145,00011
00136,00008,00011
00137,00003,00014
00138,00067,00016
00139,00032,00012
00140,00031,00010
00141,00059,00012
00142,00000,00007
00143,00014,00013
00144,00002,00012
00145,00014,00007
00146,00038,00008
00147,00012,00007
00148,00000,00007
00149,00000,00008
00150,00040,00021
00151,00032,00009
00152,00035,00009
00153,00000,00008
00154,00000,00012
00155,00012,00011
00156,00000,00012
00157,00017,00006
00158,00015,00014
00159,00098,00007
00160,00000,00010
00161,00000,00008
00162,00002,00012
00163,00219,00021
00164,00001,00006
00165,00000,00007
00166,00019,00009
00167,00000,00009
00168,00000,00007
00169,00000,00006
00170,00023,00012
00171,00000,00007
00172,00014,00008
00173,00000,00020
00174,00000,00024
00175,00000,00012
00176,00000,00022
00177,00000,00020
00178,00000,00034
00179,00000,00022
00180,00002,00013
00181,00001,00027
00182,00001,00026
00183,00001,00010
00184,00127,00036
00185,00000,00014
00186,00000,00026
00187,00000,00027
00188,00000,00031
00189,00001,00019
00190,00000,00014
00191,00122,00010
00192,00001,00016
00193,00001,00036
00194,00001,00025
00195,00000,00016
00196,00001,00017
00197,00000,00043
00198,00000,00054
00199,00001,00021
00200,00000,00034
00201,00001,00048
00202,00001,00043
00203,00001,00054
00204,00021,00003
00205,00001,00033
00206,00008,00018
00207,00001,00032
00208,00000,00024
00209,00000,00036
00210,00000,00034
00211,00002,00005
00212,00000,00012
00213,00209,00026
00214,00001,00018
00215,00002,00011
00216,00000,00015
00217,00001,00022
00218,00000,00018
00219,00000,00019
00220,00001,00007
00221,00000,00017
00222,00000,00036
00223,00002,00029
00224,00000,00022
00225,00002,00021
00226,00001,00026
00227,00001,00017
00228,00001,00018
00229,00000,00009
00230,00019,00018
00231,00000,00015
00232,00002,00026
00233,00000,00011
00234,00002,00025
00235,00002,00005
00236,00002,00011
00237,00000,00026
00238,00001,00039
00239,00001,00001
00240,00001,00021
00241,00002,00033
00242,00002,00011
00243,00002,00006
00244,00001,00024
00245,00001,00019
00246,00024,00031
00247,00051,00022
00248,00001,00015
00249,00002,00015
00250,00001,00012
00251,00001,00013
00252,00000,00018
00253,00000,00018
00254,00022,00022
00255,00003,00000
